Flow ID,saddr,sport,daddr,dport,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.1.7-23.1.0.14-60007-46802-6,23.1.1.7,60007,23.1.0.14,46802,6,04/04/2023 08:37:21 AM,39963,3,2,0,53,0,0,0.0,0.0,53,0,26.5,37.4766594,1326.22676,125.1157321,9990.75,17424.54212,36125.0,939.0,39024.0,19512.0,25474.2289,37525.0,1499.0,2339.0,2339.0,0.0,2339.0,2339.0,0,0,0,0,60,64,75.06943923,50.04629282,0,53,8.833333333,21.63715939,468.1666667,1,0,3,1,2,0,0,0,0,10.6,0.0,26.5,0,0,0,0,0,0,0,0,0,10,0,502,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23.1.0.22-23.1.1.7-41180-45494-6,23.1.0.22,41180,23.1.1.7,45494,6,03/04/2023 03:36:26 PM,13896,2,1,1000,0,1000,0,500.0,707.1067812,0,0,0.0,0.0,71963.15486,215.8894646,6948.0,9479.473509,13651.0,245.0,13896.0,13896.0,0.0,13896.0,13896.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,143.9263097,71.96315486,0,1000,500.0,577.3502692,333333.3333,1,1,1,0,1,0,0,0,0,666.6666667,500.0,0.0,0,0,0,0,0,0,0,333,0,0,8192,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23.1.1.7-23.1.0.23-41099-41659-6,23.1.1.7,41099,23.1.0.23,41659,6,05/04/2023 12:22:14 PM,681345,3,2,0,1000,0,0,0.0,0.0,1000,0,500.0,707.1067812,1467.68524,7.338426201,170336.25,218266.483,456823.0,1.0,681344.0,340672.0,164262.3195,456823.0,224521.0,457088.0,457088.0,0.0,457088.0,457088.0,0,0,0,0,60,40,4.403055721,2.93537048,0,1000,166.6666667,408.2482905,166666.6667,1,1,3,0,3,0,0,0,0,200.0,0.0,500.0,0,0,0,0,0,0,0,0,0,200,0,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23.1.0.25-23.1.1.7-47563-43354-6,23.1.0.25,47563,23.1.1.7,43354,6,05/04/2023 12:22:43 PM,312840,2,0,1000,0,1000,0,500.0,707.1067812,0,0,0.0,0.0,3196.522184,6.393044368,312840.0,0.0,312840.0,312840.0,312840.0,312840.0,0.0,312840.0,312840.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,6.393044368,0.0,0,1000,666.6666667,577.3502692,333333.3333,1,1,0,0,0,0,0,0,0,1000.0,500.0,0.0,0,0,0,0,0,0,1,500,0,0,8192,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23.1.1.7-23.1.0.14-60010-40898-6,23.1.1.7,60010,23.1.0.14,40898,6,04/04/2023 08:37:05 AM,499,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,6012.024048,249.5,3.535533906,252.0,247.0,499.0,249.5,3.535533906,252.0,247.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,108,0,6012.024048,0.0,0,0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,509,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23.1.1.7-23.1.0.21-42690-41132-6,23.1.1.7,42690,23.1.0.21,41132,6,05/04/2023 12:22:14 PM,686329,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2.914054338,686329.0,0.0,686329.0,686329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,1.457027169,1.457027169,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23.1.1.7-23.1.0.22-46999-48577-6,23.1.1.7,46999,23.1.0.22,48577,6,03/04/2023 03:16:56 PM,5113,1,1,0,54,0,0,0.0,0.0,54,54,54.0,0.0,10561.3143,391.1597888,5113.0,0.0,5113.0,5113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,195.5798944,195.5798944,0,54,18.0,31.17691454,972.0,0,1,1,0,1,0,0,0,1,27.0,0.0,54.0,0,0,0,0,0,0,0,0,0,27,0,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23.1.0.24-23.1.1.7-40068-41509-6,23.1.0.24,40068,23.1.1.7,41509,6,05/04/2023 12:24:41 PM,447615,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4.46812551,447615.0,0.0,447615.0,447615.0,447615.0,447615.0,0.0,447615.0,447615.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,4.46812551,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,8192,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23.1.1.7-23.1.0.26-42660-47549-6,23.1.1.7,42660,23.1.0.26,47549,6,09/04/2023 07:20:43 AM,1,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,1000000.0,1000000.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23.1.0.27-23.1.1.7-44438-40953-6,23.1.0.27,44438,23.1.1.7,40953,6,09/04/2023 07:18:10 AM,273726,2,0,1460,0,1460,0,730.0,1032.375901,0,0,0.0,0.0,5333.800954,7.30657665,273726.0,0.0,273726.0,273726.0,273726.0,273726.0,0.0,273726.0,273726.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,7.30657665,0.0,0,1460,973.3333333,842.931393,710533.3333,1,1,0,0,0,0,0,0,0,1460.0,730.0,0.0,0,0,0,0,0,0,1,730,0,0,8192,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
