saddr,daddr,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.160,172.16.0.204,70477199,18,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.255401751,4145717.588,3454194.277,11881059.0,408883.0,70477199.0,4145717.588,3454194.277,11881059.0,408883.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,360,0,0.255401751,0.0,0,0,0.0,0.0,0.0,0,0,0,0,18,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,5297509.6,5418217.591,14675853.0,1271800.0,8797930.2,2117304.234,11881059.0,5959051.0,Network
172.16.2.74,172.16.0.177,7873585,2,0,1032,0,516,516,516.0,0.0,0,0,0.0,0.0,131.0711702,0.254013896,7873585.0,0.0,7873585.0,7873585.0,7873585.0,7873585.0,0.0,7873585.0,7873585.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,0.254013896,0.0,516,516,516.0,0.0,0.0,0,0,0,0,0,0,0,0,0,774.0,516.0,0.0,0,0,0,0,0,0,1,516,0,0,0,0,1,8,0.0,0.0,0.0,0.0,7873585.0,0.0,7873585.0,7873585.0,DrDoS
172.16.2.17,172.16.3.91,3378,2,0,2504,0,1448,1056,1252.0,277.1858582,0,0,0.0,0.0,741267.0219,592.0663114,3378.0,0.0,3378.0,3378.0,3378.0,3378.0,0.0,3378.0,3378.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,592.0663114,0.0,1056,1448,1317.333333,226.3213055,51221.33333,1,0,0,1,2,0,0,0,0,1976.0,1252.0,0.0,0,0,0,0,0,0,1,1252,0,0,509,0,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Application
172.16.0.204,172.16.1.74,6936,18,0,7920,0,440,440,440.0,0.0,0,0,0.0,0.0,1141868.512,2595.155709,408.0,16.70703445,442.0,379.0,6936.0,408.0,16.70703445,442.0,379.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,144,0,2595.155709,0.0,440,440,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0,464.4444444,440.0,0.0,0,0,0,7920,18,1141868,1,440,0,0,0,0,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DrDoS
172.16.3.196,172.16.2.29,3173,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,945.4774661,1586.5,2242.235603,3172.0,1.0,3173.0,1586.5,2242.235603,3172.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,0,945.4774661,0.0,0,0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,502,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Botnet
172.16.1.253,172.16.3.1,78622,38,0,53200,0,1400,1400,1400.0,0.0,0,0,0.0,0.0,676655.3891,483.3252779,2124.918919,1417.075988,5948.0,1096.0,78622.0,2124.918919,1417.075988,5948.0,1096.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,304,0,483.3252779,0.0,1400,1400,1400.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1436.842105,1400.0,0.0,0,0,0,53200,38,676655,1,1400,0,0,0,0,37,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DrDoS
172.16.1.75,172.16.1.183,64955763,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.10776565,10800000.0,12400000.0,33500000.0,1005417.0,65000000.0,10800000.0,12400000.0,33500000.0,1005417.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,0,0.10776565,0.0,0,0,0.0,0.0,0.0,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,7083621.0,0.0,7083621.0,7083621.0,19300000.0,12900000.0,33500000.0,8212372.0,SlowDDoS
172.16.1.176,172.16.2.234,67077480,11,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.163989464,6707748.0,9612100.337,32556421.0,840948.0,67077480.0,6707748.0,9612100.337,32556421.0,840948.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,220,0,0.163989464,0.0,0,0,0.0,0.0,0.0,0,0,0,0,11,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,3378947.0,0.0,3378947.0,3378947.0,16629586.33,14083248.17,32556421.0,5821906.0,Network
172.16.0.22,172.16.1.3,76104244,26,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.341636664,3044169.76,3003927.175,11715341.0,398047.0,76104244.0,3044169.76,3003927.175,11715341.0,398047.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,520,0,0.341636664,0.0,0,0,0.0,0.0,0.0,0,0,0,0,26,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,20,13555818.0,7636868.741,22367456.0,8853282.0,10146571.33,2183574.984,11715341.0,7652736.0,Network
172.16.3.54,172.16.1.106,6732387,5,6,367,5400,367,0,73.4,164.1273895,1448,0,900.0,713.4771195,856.6055398,1.633893001,673238.7,1437389.047,4363762.0,479.0,6609779.0,1652444.75,2040707.441,4363762.0,479.0,6661951.0,1332390.2,2866657.058,6459043.0,909.0,0,0,0,0,184,208,0.742678637,0.891214364,0,1448,480.5833333,658.4011568,433492.0833,1,5,0,2,8,0,0,0,1,524.2727273,73.4,900.0,0,0,0,5767,5,47036,0,33,0,490,64240,501,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Application
